模型,Precision@10,Recall@10,F1@10,HitRate@10,NDCG@10,评估用户数
Popularity,0.004333333333333333,0.012472222222222221,0.005934084434084433,0.03666666666666667,0.00844849776507541,300
User-CF,0.012666666666666668,0.042664418914418904,0.016886922248640312,0.10333333333333333,0.030489991121555596,300
Item-CF,0.002666666666666667,0.015611111111111112,0.004251637251637252,0.02666666666666667,0.01072679853156366,300
SVD-CF,0.003666666666666667,0.01056878306878307,0.005054000866694365,0.03333333333333333,0.007991603778006593,300
BPR-MF,0.004,0.01136111111111111,0.005421263921263921,0.03333333333333333,0.008358147720071533,300
Content-Based,0.008666666666666666,0.031962962962962964,0.012587294771505298,0.07333333333333333,0.023880732533704107,300
Hybrid-SVD-CF(alpha=0.7),0.01,0.03862962962962963,0.01470129188550241,0.08666666666666667,0.029831734947206527,300
Hybrid-User-CF(alpha=0.2),0.014666666666666668,0.054335403726708066,0.0206719066393989,0.12333333333333334,0.04342447401745025,300
Hybrid-BPR-MF(alpha=0.9),0.010666666666666668,0.04432407407407407,0.015764857949068477,0.09333333333333334,0.03210529912715628,300
LightGBM-Ranker,0.006333333333333334,0.030321225071225075,0.009326648201362161,0.06333333333333334,0.02044991991278648,300
